var_name,label,format,For_Dashboard,Filter
school_id,School ID,%10.0g,TRUE,
MOEcode,MOE code,%10.0g,,
school_nam,School Name,%9s,TRUE,
division_num,Division_num,%10.0g,TRUE,TRUE
division_nam,Division_nam,%16s,TRUE,TRUE
district_num,District Number,%8.0g,TRUE,TRUE
district_nam,District Name,%19s,TRUE,TRUE
enrol_std1,Enrollment (std 1),%9.0g,TRUE,
enrol_std2,Enrollment (std 2),%9.0g,TRUE,
enrol_std3,Enrollment (std 3),%9.0g,TRUE,
enrol_std4,Enrollment (std 4),%9.0g,TRUE,
enrol_std5,Enrollment (std 5),%9.0g,TRUE,
enrol_std6,Enrollment (std 6),%9.0g,TRUE,
enrol_std7,Enrollment (std 7),%9.0g,TRUE,
enrol_std8,Enrollment (std 8),%9.0g,TRUE,
enrol_tot,Total Enrolment,%9.0g,TRUE,
enrol_lower_tot,Lower Primary Enrolment,%9.0g,TRUE,
enrol_upper_tot,Upper Primary Enrolment,%9.0g,TRUE,
enrol_std1_f,Female Enrollment (std 1),%9.0g,TRUE,
enrol_std2_f,Female Enrollment (std 2),%9.0g,TRUE,
enrol_std3_f,Female Enrollment (std 3),%9.0g,TRUE,
enrol_std4_f,Female Enrollment (std 4),%9.0g,TRUE,
enrol_std5_f,Female Enrollment (std 5),%9.0g,TRUE,
enrol_std6_f,Female Enrollment (std 6),%9.0g,TRUE,
enrol_std7_f,Female Enrollment (std 7),%9.0g,TRUE,
enrol_std8_f,Female Enrollment (std 8),%9.0g,TRUE,
enrol_tot_f,Female Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_f,Female Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_f,Female Enrollment (std 4-8),%9.0g,TRUE,
enrol_std1_m,Male Enrollment (std 1),%9.0g,TRUE,
enrol_std2_m,Male Enrollment (std 2),%9.0g,TRUE,
enrol_std3_m,Male Enrollment (std 3),%9.0g,TRUE,
enrol_std4_m,Male Enrollment (std 4),%9.0g,TRUE,
enrol_std5_m,Male Enrollment (std 5),%9.0g,TRUE,
enrol_std6_m,Male Enrollment (std 6),%9.0g,TRUE,
enrol_std7_m,Male Enrollment (std 7),%9.0g,TRUE,
enrol_std8_m,Male Enrollment (std 8),%9.0g,TRUE,
enrol_tot_m,Male Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_m,Male Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_m,Male Enrollment (std 4-8),%9.0g,TRUE,
output_efficiency_grade4,Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8,Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_f,Female Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_f,Female Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_m,Male Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_m,Male Output Efficiency (std 8),%9.0g,TRUE,
multi_shift,TO CHECK LATER,%9.0g,,
num_non_tch_staff,Number of non-teaching staff,%9.0g,TRUE,
ptxt_ratio_eng_tot,Pupil:txt ratio English,%9.0g,TRUE,
tot_txt_math_tot,,%9.0g,,
ptxt_ratio_math_tot,Pupil:txt ratio Math,%9.0g,TRUE,
tot_txt_chi_tot,,%9.0g,,
ptxt_ratio_chi_tot,Pupil:txt ratio Chichewa,%9.0g,TRUE,
tot_txt_lower_eng,,%9.0g,,
tot_txt_lower_math,,%9.0g,,
tot_txt_lower_chi,,%9.0g,,
tot_txt_lower,,%9.0g,,
tot_txt_upper_eng,,%9.0g,,
tot_txt_upper_math,,%9.0g,,
tot_txt_upper_chi,,%9.0g,,
ptxt_ratio_upper,Pupil:txt ratio upper,%9.0g,TRUE,
ptxt_ratio_lower_eng,,%9.0g,TRUE,
ptxt_ratio_lower_math,,%9.0g,TRUE,
ptxt_ratio_lower_chi,,%9.0g,TRUE,
ptxt_ratio_upper_eng,,%9.0g,TRUE,
ptxt_ratio_upper_math,,%9.0g,TRUE,
ptxt_ratio_upper_chi,,%9.0g,TRUE,
ptxt_ratio_tot,Pupil-Textbook Ratio,%9.0g,TRUE,
feed_pro_yes,,%9.0g,,
smc_yes,,%9.0g,,
pta_yes,,%9.0g,,
mg_yes,,%9.0g,,
smc_mg_pta_yes,,%9.0g,,
smc_pta_yes,,%9.0g,,
smc_mg_yes,,%9.0g,,
pta_mg_yes,,%9.0g,,
psip_yes,PSIP (y or n),%9.0g,,
maintain_enrol_record_yes,additional enrolment record keeping indicator (y or n),%9.0g,,
co_edu_sch,coeducational school gender category (y or n),%9.0g,TRUE,
public,"school’s ownership type: Government, Non-religious NGO, Religious Agency (specif",%9.0g,TRUE,
num_clas_new_uc,number of classrooms that are new (less than one year old) or under construction,%9.0g,,
num_toilet_new_uc,Toilets under construction,%9.0g,,
num_time_affected_rain,number of times school affected by rain/flood,%9.0g,,
closure_in_rain_yes,school is closed during recent rainy seasons,%9.0g,,
num_meet_on_rec_smc,Number of SMC meetings in book (HT2 147),%9.0g,,
num_meet_on_rec_pta,Number of PTA meetings in book (HT2 156),%9.0g,,
num_meet_on_rec_mg,Number of MG meetings in book (HT2 163),%9.0g,,
psip_prepared_2016,the most recent PSIP prepared in 2016,%9.0g,,
num_stfmeet_ht,Number of staff meetings held since sep 2015,%9.0g,,
num_parentinvi_ht,Number of times of parent invited to the school,%9.0g,,
tenure_ht,HT tenure at this school,%9.0g,,
yrs_ht,HT experience,%9.0g,,
absent_days_ht,HT days of absent on other duties,%9.0g,,
LT_yes_ht,HT received leadership training,%9.0g,,
IST_yes_ht,HT received in-service training,%9.0g,,
no_rw_tch_yes_ht,HT does not rewards teacher performance,%9.0g,,
no_rw_ht,HT is not rewarded,%9.0g,,
num_vacant_tch,number of vacant teaching positions,%9.0g,,
PEA_assess,PEA Assesses performance,%31.0g,,
stu_verb_bully_fre,Students verbally abuse other students once a week or more,%9.0g,,
stu_phys_bully_fre,Students physically abuse other students once a week or more,%9.0g,,
tch_verb_bully_fre,Teachers verbally abuse other students once a week or more,%9.0g,,
tch_phys_bully_fre,Teachers physically abuse other students once a week or more,%9.0g,,
rmdl_class,131_m1: Does the school offer remedial classes for poor performing students?,%8.0g,TRUE,
rmdl_class_std1,Remedial Classes offered (std 1),%9.0g,,
rmdl_class_std2,Remedial Classes offered (std 2),%9.0g,,
rmdl_class_std3,Remedial Classes offered (std 3),%9.0g,,
rmdl_class_std4,Remedial Classes offered (std 4),%9.0g,,
rmdl_class_std5,Remedial Classes offered (std 5),%9.0g,,
rmdl_class_std6,Remedial Classes offered (std 6),%9.0g,,
rmdl_class_std7,Remedial Classes offered (std 7),%9.0g,,
rmdl_class_std8,Remedial Classes offered (std 8),%9.0g,,
rmdl_class_free_std1,Remedial Classes offered for free (std 1),%9.0g,,
rmdl_class_free_std2,Remedial Classes offered for free (std 2),%9.0g,,
rmdl_class_free_std3,Remedial Classes offered for free (std 3),%9.0g,,
rmdl_class_free_std4,Remedial Classes offered for free (std 4),%9.0g,,
rmdl_class_free_std5,Remedial Classes offered for free (std 5),%9.0g,,
rmdl_class_free_std6,Remedial Classes offered for free (std 6),%9.0g,,
rmdl_class_free_std7,Remedial Classes offered for free (std 7),%9.0g,,
rmdl_class_free_std8,Remedial Classes offered for free (std 8),%9.0g,,
rmdl_classes_freq_std1,No. of remedial Classes offered per month (std 1),%9.0g,,
rmdl_classes_freq_std2,No. of remedial Classes offered per month (std 2),%9.0g,,
rmdl_classes_freq_std3,No. of remedial Classes offered per month (std 3),%9.0g,,
rmdl_classes_freq_std4,No. of remedial Classes offered per month (std 4),%9.0g,,
rmdl_classes_freq_std5,No. of remedial Classes offered per month (std 5),%9.0g,,
rmdl_classes_freq_std6,No. of remedial Classes offered per month (std 6),%9.0g,,
rmdl_classes_freq_std7,No. of remedial Classes offered per month (std 7),%9.0g,,
rmdl_classes_freq_std8,No. of remedial Classes offered per month (std 8),%9.0g,,
rmdl_stu_m_std1,No. of male students attending remedial classes per month (std 1),%9.0g,,
rmdl_stu_m_std2,No. of male students attending remedial classes per month (std 2),%9.0g,,
rmdl_stu_m_std3,No. of male students attending remedial classes per month (std 3),%9.0g,,
rmdl_stu_m_std4,No. of male students attending remedial classes per month (std 4),%9.0g,,
rmdl_stu_m_std5,No. of male students attending remedial classes per month (std 5),%9.0g,,
rmdl_stu_m_std6,No. of male students attending remedial classes per month (std 6),%9.0g,,
rmdl_stu_m_std7,No. of male students attending remedial classes per month (std 7),%9.0g,,
rmdl_stu_m_std8,No. of male students attending remedial classes per month (std 8),%9.0g,,
rmdl_stu_f_std1,No. of female students attending remedial classes per month (std 1),%9.0g,,
rmdl_stu_f_std2,No. of female students attending remedial classes per month (std 2),%9.0g,,
rmdl_stu_f_std3,No. of female students attending remedial classes per month (std 3),%9.0g,,
rmdl_stu_f_std4,No. of female students attending remedial classes per month (std 4),%9.0g,,
rmdl_stu_f_std5,No. of female students attending remedial classes per month (std 5),%9.0g,,
rmdl_stu_f_std6,No. of female students attending remedial classes per month (std 6),%9.0g,,
rmdl_stu_f_std7,No. of female students attending remedial classes per month (std 7),%9.0g,,
rmdl_stu_f_std8,No. of female students attending remedial classes per month (std 8),%9.0g,,
rmdl_stu_tot_std1,No. of students attending remedial classes per month (std 1),%9.0g,,
rmdl_stu_tot_std2,No. of students attending remedial classes per month (std 2),%9.0g,,
rmdl_stu_tot_std3,No. of students attending remedial classes per month (std 3),%9.0g,,
rmdl_stu_tot_std4,No. of students attending remedial classes per month (std 4),%9.0g,,
rmdl_stu_tot_std5,No. of students attending remedial classes per month (std 5),%9.0g,,
rmdl_stu_tot_std6,No. of students attending remedial classes per month (std 6),%9.0g,,
rmdl_stu_tot_std7,No. of students attending remedial classes per month (std 7),%9.0g,,
rmdl_stu_tot_std8,No. of students attending remedial classes per month (std 8),%9.0g,,
rmdl_class_tot,,%9.0g,TRUE,
rmdl_class_free_tot,,%9.0g,TRUE,
rmdl_classes_freq_tot,,%9.0g,TRUE,
rmdl_stu_m_tot,,%9.0g,TRUE,
rmdl_stu_f_tot,,%9.0g,TRUE,
rmdl_stu_tot_tot,,%9.0g,TRUE,
multi_grade,Multi Grade,%23.0g,,
zone_num,zone_num,%8.0g,,
zone_nam,zone_nam,%16s,,
address1,address1,%9s,,
address2,address2,%9s,,
phone,phone,%12s,,
paypoint,Paypoint,%13s,,
regno,RegNo,%14s,,
establish_year,Estblish year,%8.0g,TRUE,
proprietor,Proprietor,%8.0g,TRUE,
propspecify,PropSpecify,%35s,,
insttype,InstType,%8.0g,,
constituency,Constituency,%25s,,
tradauth,TradAuth,%21s,,
baseline_559,559 schools covered in initial baseline,%9.0g,,
phase_a_559_381_yes,,%9.0g,,
phase_b_559_178_yes,,%9.0g,,
sch_outside_924,38 schools sampled in the extended round because they are RD schools of CP1,%9.0g,,
extended_baseline_round_273,273 schools for the extended baseline in 2018,%9.0g,,
baseline_extension_228_yes,,%23.0g,,
baseline_yes,,%9.0g,,
latitude1,,%9.0g,,
longitude1,,%9.0g,,
nid,,%8.0g,,
km_to_nid,km_to_nid,%10.0g,,
num_tch_std1,number of teachers in standard 1,%9.0g,,
num_tch_std2,number of teachers in standard 2,%9.0g,,
num_tch_std3,number of teachers in standard 3,%9.0g,,
num_tch_std4,number of teachers in standard 4,%9.0g,,
num_tch_std5,number of teachers in standard 5,%9.0g,,
num_tch_std6,number of teachers in standard 6,%9.0g,,
num_tch_std7,number of teachers in standard 7,%9.0g,,
num_tch_std8,number of teachers in standard 8,%9.0g,,
senior_tch,No. Senior Teachers in School,%9.0g,TRUE,
std_tch,No. General Teachers in School,%9.0g,TRUE,
jun_tch,No. Junior Teachers in School,%9.0g,TRUE,
oth_tch,No. Other Teachers in School,%9.0g,TRUE,
aux_tch,No. Auxilliary Teachers in School (roster),%9.0g,TRUE,
std_offered,Q51.What standards are offered in this school?,%15.0g,TRUE,
num_tch_tot,Total Teachers,%9.0g,,
num_tch_lower,Lower Primary Teachers,%9.0g,,
num_tch_upper,Upper Primary Teachers,%9.0g,,
num_tch_std1_f,number of female teachers in standard 1,%9.0g,,
num_tch_std2_f,number of female teachers in standard 2,%9.0g,,
num_tch_std3_f,number of female teachers in standard 3,%9.0g,,
num_tch_std4_f,number of female teachers in standard 4,%9.0g,,
num_tch_std5_f,number of female teachers in standard 5,%9.0g,,
num_tch_std6_f,number of female teachers in standard 6,%9.0g,,
num_tch_std7_f,number of female teachers in standard 7,%9.0g,,
num_tch_std8_f,number of female teachers in standard 8,%9.0g,,
num_tch_tot_f,"total number of female teachers, std1-std8",%9.0g,,
num_tch_lower_f,"number of female teachers, std1-std4",%9.0g,,
num_tch_upper_f,"number of female teachers, std5-std8",%9.0g,,
num_tch_std1_m,number of male teachers in standard 1,%9.0g,,
num_tch_std2_m,number of male teachers in standard 2,%9.0g,,
num_tch_std3_m,number of male teachers in standard 3,%9.0g,,
num_tch_std4_m,number of male teachers in standard 4,%9.0g,,
num_tch_std5_m,number of male teachers in standard 5,%9.0g,,
num_tch_std6_m,number of male teachers in standard 6,%9.0g,,
num_tch_std7_m,number of male teachers in standard 7,%9.0g,,
num_tch_std8_m,number of male teachers in standard 8,%9.0g,,
num_tch_tot_m,"total number of male teachers, std1-std8",%9.0g,,
num_tch_lower_m,"number of male teachers, std1-std4",%9.0g,,
num_tch_upper_m,"number of male teachers, std5-std8",%9.0g,,
female_tch_ratio_std1,number of female teachers in standard 1 / number of teachers in standard 1,%9.0g,TRUE,
female_tch_ratio_std2,number of female teachers in standard 2 / number of teachers in standard 2,%9.0g,TRUE,
female_tch_ratio_std3,number of female teachers in standard 3 / number of teachers in standard 3,%9.0g,TRUE,
female_tch_ratio_std4,number of female teachers in standard 4 / number of teachers in standard 4,%9.0g,TRUE,
female_tch_ratio_std5,number of female teachers in standard 5 / number of teachers in standard 5,%9.0g,TRUE,
female_tch_ratio_std6,number of female teachers in standard 6 / number of teachers in standard 6,%9.0g,TRUE,
female_tch_ratio_std7,number of female teachers in standard 7 / number of teachers in standard 7,%9.0g,TRUE,
female_tch_ratio_std8,number of female teachers in standard 8 / number of teachers in standard 8,%9.0g,TRUE,
female_tch_ratio_upper,number of female teachers in std 5 to std 8 / number of teachers in std 5 to std,%9.0g,TRUE,
female_tch_ratio_lower,number of female teachers in std 1 to std 4 / number of teachers in std 1 to std,%9.0g,TRUE,
female_tch_ratio_tot,total number of female teachers / total number of teachers,%9.0g,TRUE,
male_tch_ratio_std1,number of male teachers in standard 1 / number of teachers in standard 1,%9.0g,,
male_tch_ratio_std2,number of male teachers in standard 2 / number of teachers in standard 2,%9.0g,,
male_tch_ratio_std3,number of male teachers in standard 3 / number of teachers in standard 3,%9.0g,,
male_tch_ratio_std4,number of male teachers in standard 4 / number of teachers in standard 4,%9.0g,,
male_tch_ratio_std5,number of male teachers in standard 5 / number of teachers in standard 5,%9.0g,,
male_tch_ratio_std6,number of male teachers in standard 6 / number of teachers in standard 6,%9.0g,,
male_tch_ratio_std7,number of male teachers in standard 7 / number of teachers in standard 7,%9.0g,,
male_tch_ratio_std8,number of male teachers in standard 8 / number of teachers in standard 8,%9.0g,,
male_tch_ratio_upper,number of male teachers in std 5 to std 8 / number of teachers in std 5 to std 8,%9.0g,,
male_tch_ratio_lower,number of male teachers in std 1 to std 4 / number of teachers in std 1 to std 4,%9.0g,,
male_tch_ratio_tot,total number of male teachers / total number of teachers,%9.0g,,
female_male_tch_ratio_std1,number of female teachers in std 1 / number of male teachers in std 1,%9.0g,,
female_male_tch_ratio_std2,number of female teachers in std 2 / number of male teachers in std 2,%9.0g,,
female_male_tch_ratio_std3,number of female teachers in std 3 / number of male teachers in std 3,%9.0g,,
female_male_tch_ratio_std4,number of female teachers in std 4 / number of male teachers in std 4,%9.0g,,
female_male_tch_ratio_std5,number of female teachers in std 5 / number of male teachers in std 5,%9.0g,,
female_male_tch_ratio_std6,number of female teachers in std 6 / number of male teachers in std 6,%9.0g,,
female_male_tch_ratio_std7,number of female teachers in std 7 / number of male teachers in std 7,%9.0g,,
female_male_tch_ratio_std8,number of female teachers in std 8 / number of male teachers in std 8,%9.0g,,
female_male_tch_ratio_upper,number of female teachers in std 5 to std 8 / number of male teachers in std 5 t,%9.0g,,
female_male_tch_ratio_lower,number of female teachers in std 1 to std 4 / number of male teachers in std 1 t,%9.0g,,
female_male_tch_ratio_tot,total number of female teachers / total number of male teachers,%9.0g,,
num_tch_std1_q,number of qualified teachers in standard 1,%9.0g,,
num_tch_std2_q,number of qualified teachers in standard 2,%9.0g,,
num_tch_std3_q,number of qualified teachers in standard 3,%9.0g,,
num_tch_std4_q,number of qualified teachers in standard 4,%9.0g,,
num_tch_std5_q,number of qualified teachers in standard 5,%9.0g,,
num_tch_std6_q,number of qualified teachers in standard 6,%9.0g,,
num_tch_std7_q,number of qualified teachers in standard 7,%9.0g,,
num_tch_std8_q,number of qualified teachers in standard 8,%9.0g,,
num_tch_tot_q,"total number of qualified teachers, std 1 - std 8",%9.0g,,
num_tch_lower_q,"total number of qualified teachers, std 1 - std 4",%9.0g,,
num_tch_upper_q,"total number of qualified teachers, std 5 - std 8",%9.0g,,
num_tch_std1_f_q,number of female qualified teachers in standard 1,%9.0g,,
num_tch_std2_f_q,number of female qualified teachers in standard 2,%9.0g,,
num_tch_std3_f_q,number of female qualified teachers in standard 3,%9.0g,,
num_tch_std4_f_q,number of female qualified teachers in standard 4,%9.0g,,
