var_name,label,format,Dashboard,Filter
school_id,School ID,%10.0g,TRUE,
school_nam,School Name,%9s,TRUE,
division_num,Division_num,%10.0g,TRUE,TRUE
division_nam,Division_nam,%16s,TRUE,TRUE
district_num,District Number,%8.0g,TRUE,TRUE
district_nam,District Name,%19s,TRUE,TRUE
enrol_std1,Enrollment (std 1),%9.0g,TRUE,
enrol_std2,Enrollment (std 2),%9.0g,TRUE,
enrol_std3,Enrollment (std 3),%9.0g,TRUE,
enrol_std4,Enrollment (std 4),%9.0g,TRUE,
enrol_std5,Enrollment (std 5),%9.0g,TRUE,
enrol_std6,Enrollment (std 6),%9.0g,TRUE,
enrol_std7,Enrollment (std 7),%9.0g,TRUE,
enrol_std8,Enrollment (std 8),%9.0g,TRUE,
enrol_tot,Total Enrolment,%9.0g,TRUE,
enrol_lower_tot,Lower Primary Enrolment,%9.0g,TRUE,
enrol_upper_tot,Upper Primary Enrolment,%9.0g,TRUE,
enrol_std1_f,Female Enrollment (std 1),%9.0g,TRUE,
enrol_std2_f,Female Enrollment (std 2),%9.0g,TRUE,
enrol_std3_f,Female Enrollment (std 3),%9.0g,TRUE,
enrol_std4_f,Female Enrollment (std 4),%9.0g,TRUE,
enrol_std5_f,Female Enrollment (std 5),%9.0g,TRUE,
enrol_std6_f,Female Enrollment (std 6),%9.0g,TRUE,
enrol_std7_f,Female Enrollment (std 7),%9.0g,TRUE,
enrol_std8_f,Female Enrollment (std 8),%9.0g,TRUE,
enrol_tot_f,Female Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_f,Female Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_f,Female Enrollment (std 4-8),%9.0g,TRUE,
enrol_std1_m,Male Enrollment (std 1),%9.0g,TRUE,
enrol_std2_m,Male Enrollment (std 2),%9.0g,TRUE,
enrol_std3_m,Male Enrollment (std 3),%9.0g,TRUE,
enrol_std4_m,Male Enrollment (std 4),%9.0g,TRUE,
enrol_std5_m,Male Enrollment (std 5),%9.0g,TRUE,
enrol_std6_m,Male Enrollment (std 6),%9.0g,TRUE,
enrol_std7_m,Male Enrollment (std 7),%9.0g,TRUE,
enrol_std8_m,Male Enrollment (std 8),%9.0g,TRUE,
enrol_tot_m,Male Enrollment (total),%9.0g,TRUE,
enrol_lower_tot_m,Male Enrollment (std 1-4),%9.0g,TRUE,
enrol_upper_tot_m,Male Enrollment (std 4-8),%9.0g,TRUE,
output_efficiency_grade4,Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8,Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_f,Female Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_f,Female Output Efficiency (std 8),%9.0g,TRUE,
output_efficiency_grade4_m,Male Output Efficiency (std 4),%9.0g,TRUE,
output_efficiency_grade8_m,Male Output Efficiency (std 8),%9.0g,TRUE,
num_non_tch_staff,Number of non-teaching staff,%9.0g,TRUE,
ptxt_ratio_eng_tot,Pupil:txt ratio English,%9.0g,TRUE,
ptxt_ratio_math_tot,Pupil:txt ratio Math,%9.0g,TRUE,
ptxt_ratio_chi_tot,Pupil:txt ratio Chichewa,%9.0g,TRUE,
ptxt_ratio_upper,Pupil:txt ratio upper,%9.0g,TRUE,
ptxt_ratio_lower_eng,"",%9.0g,TRUE,
ptxt_ratio_lower_math,"",%9.0g,TRUE,
ptxt_ratio_lower_chi,"",%9.0g,TRUE,
ptxt_ratio_upper_eng,"",%9.0g,TRUE,
ptxt_ratio_upper_math,"",%9.0g,TRUE,
ptxt_ratio_upper_chi,"",%9.0g,TRUE,
ptxt_ratio_tot,Pupil-Textbook Ratio,%9.0g,TRUE,
co_edu_sch,coeducational school gender category (y or n),%9.0g,TRUE,
public,"schoolâ€™s ownership type: Government, Non-religious NGO, Religious Agency (specif",%9.0g,TRUE,
rmdl_class,131_m1: Does the school offer remedial classes for poor performing students?,%8.0g,TRUE,
rmdl_class_tot,"",%9.0g,TRUE,
rmdl_class_free_tot,"",%9.0g,TRUE,
rmdl_classes_freq_tot,"",%9.0g,TRUE,
rmdl_stu_m_tot,"",%9.0g,TRUE,
rmdl_stu_f_tot,"",%9.0g,TRUE,
rmdl_stu_tot_tot,"",%9.0g,TRUE,
establish_year,Estblish year,%8.0g,TRUE,
proprietor,Proprietor,%8.0g,TRUE,
senior_tch,No. Senior Teachers in School,%9.0g,TRUE,
std_tch,No. General Teachers in School,%9.0g,TRUE,
jun_tch,No. Junior Teachers in School,%9.0g,TRUE,
oth_tch,No. Other Teachers in School,%9.0g,TRUE,
aux_tch,No. Auxilliary Teachers in School (roster),%9.0g,TRUE,
std_offered,Q51.What standards are offered in this school?,%15.0g,TRUE,
female_tch_ratio_std1,number of female teachers in standard 1 / number of teachers in standard 1,%9.0g,TRUE,
female_tch_ratio_std2,number of female teachers in standard 2 / number of teachers in standard 2,%9.0g,TRUE,
female_tch_ratio_std3,number of female teachers in standard 3 / number of teachers in standard 3,%9.0g,TRUE,
female_tch_ratio_std4,number of female teachers in standard 4 / number of teachers in standard 4,%9.0g,TRUE,
female_tch_ratio_std5,number of female teachers in standard 5 / number of teachers in standard 5,%9.0g,TRUE,
female_tch_ratio_std6,number of female teachers in standard 6 / number of teachers in standard 6,%9.0g,TRUE,
female_tch_ratio_std7,number of female teachers in standard 7 / number of teachers in standard 7,%9.0g,TRUE,
female_tch_ratio_std8,number of female teachers in standard 8 / number of teachers in standard 8,%9.0g,TRUE,
female_tch_ratio_upper,number of female teachers in std 5 to std 8 / number of teachers in std 5 to std,%9.0g,TRUE,
female_tch_ratio_lower,number of female teachers in std 1 to std 4 / number of teachers in std 1 to std,%9.0g,TRUE,
female_tch_ratio_tot,total number of female teachers / total number of teachers,%9.0g,TRUE,
enrol_PTR_std1,enrolment in std1 / number of teachers in std1,%9.0g,TRUE,
enrol_PTR_std1_f,female enrolment in std1 / number of female teachers in std1,%9.0g,TRUE,
enrol_PTR_std2,enrolment in std2 / number of teachers in std2,%9.0g,TRUE,
enrol_PTR_std2_f,female enrolment in std2 / number of female teachers in std2,%9.0g,TRUE,
enrol_PTR_std3,enrolment in std3 / number of teachers in std3,%9.0g,TRUE,
enrol_PTR_std3_f,female enrolment in std1 / number of female teachers in std3,%9.0g,TRUE,
enrol_PTR_std4,enrolment in std4 / number of teachers in std4,%9.0g,TRUE,
enrol_PTR_std4_f,female enrolment in std4 / number of female teachers in std4,%9.0g,TRUE,
enrol_PTR_std5,enrolment in std5 / number of teachers in std5,%9.0g,TRUE,
enrol_PTR_std5_f,female enrolment in std5 / number of female teachers in std5,%9.0g,TRUE,
enrol_PTR_std6,enrolment in std6 / number of teachers in std6,%9.0g,TRUE,
enrol_PTR_std6_f,female enrolment in std6 / number of female teachers in std6,%9.0g,TRUE,
enrol_PTR_std7,enrolment in std7 / number of teachers in std7,%9.0g,TRUE,
enrol_PTR_std7_f,female enrolment in std7 / number of female teachers in std7,%9.0g,TRUE,
enrol_PTR_std8,enrolment in std8 / number of teachers in std8,%9.0g,TRUE,
enrol_PTR_std8_f,female enrolment in std8 / number of female teachers in std8,%9.0g,TRUE,
enrol_PTR_tot,Overall Pupil-Teacher Ratio,%9.0g,TRUE,
enrol_PTR_tot_f,total female enrolment / total number of female teachers,%9.0g,TRUE,
enrol_PTR_tot_lower,Lower Primary Pupil-Teacher Ratio,%9.0g,TRUE,
enrol_PTR_tot_upper,total upper class (std5-std8) enrolment / total number of teachers in upper clas,%9.0g,TRUE,
enrol_PTR_tot_lower_f,total lower class (std1-std4) female enrolment / total number of female teachers,%9.0g,TRUE,
enrol_PTR_tot_upper_f,total upper class (std5-std8) female enrolment / total number of female teachers,%9.0g,TRUE,
enrol_PQTR_std1,enrolment in std1 / number of qualified teachers in std1,%9.0g,TRUE,
enrol_PQTR_std2,enrolment in std2 / number of qualified teachers in std2,%9.0g,TRUE,
enrol_PQTR_std3,enrolment in std3 / number of qualified teachers in std3,%9.0g,TRUE,
enrol_PQTR_std4,enrolment in std4 / number of qualified teachers in std4,%9.0g,TRUE,
enrol_PQTR_std5,enrolment in std5 / number of qualified teachers in std5,%9.0g,TRUE,
enrol_PQTR_std6,enrolment in std6 / number of qualified teachers in std6,%9.0g,TRUE,
enrol_PQTR_std7,enrolment in std7 / number of qualified teachers in std7,%9.0g,TRUE,
enrol_PQTR_std8,enrolment in std8 / number of qualified teachers in std8,%9.0g,TRUE,
enrol_PQTR_tot,total enrolment / total number of qualified teachers,%9.0g,TRUE,
enrol_PQTR_tot_lower,total lower class (std1-std4) enrolment / total number of qualified teachers in,%9.0g,TRUE,
enrol_PQTR_tot_upper,total upper class (std5-std8) enrolment / total number of qualified teachers in,%9.0g,TRUE,
PT4_share,(mean) PT4,%9.0g,TRUE,
tenure_sch,average teacher school tenure (using ht1 roster),%9.0g,TRUE,
above_high_qualification,share of above MSCE qualification teachers (using ht1 roster),%9.0g,TRUE,
tenure,teacher experience in the education sector,%9.0g,TRUE,
abs_rate_tot,Absence Rate Total (HC),%9.0g,TRUE,
abs_rate_std1,Absence Rate in std 1 (HC),%9.0g,TRUE,
abs_rate_std2,Absence Rate in std 2 (HC),%9.0g,TRUE,
abs_rate_std3,Absence Rate in std 3 (HC),%9.0g,TRUE,
abs_rate_std4,Absence Rate in std 4 (HC),%9.0g,TRUE,
abs_rate_std5,Absence Rate in std 5 (HC),%9.0g,TRUE,
abs_rate_std6,Absence Rate in std 6 (HC),%9.0g,TRUE,
abs_rate_std7,Absence Rate in std 7 (HC),%9.0g,TRUE,
electricity_yes,School has electricity (y or n),%9.0g,TRUE,
num_water_points,Number of Water Points,%9.0g,TRUE,
quality_water,quality of drinking water spots,%9.0g,TRUE,
electricity_yes_sfo,Electricity,%9.0g,TRUE,
enrol_pupil_toilet_ratio_tot,total pupil enrolment / total number of functional toilets for boys and girls,%9.0g,TRUE,
enrol_num_func_toilet_per_stu,total number of functional toilets for boys and girls / total pupil enrolment,%9.0g,TRUE,
enrol_pupil_toilet_ratio_girl,total female enrolment / number of toilets for girls available,%9.0g,TRUE,
enrol_pupil_toilet_ratio_boy,total male enrolment / number of toilets for boys available,%9.0g,TRUE,
electricity,electricity line to the school (y or n),%9.0g,TRUE,
num_drink_water_spots,"",%9.0g,TRUE,
block_condi_complete_bad,school blocks need to be completely rebuilt,%9.0g,TRUE,
block_condi_part_major,school block' major parts need to be reparied,%9.0g,TRUE,
block_condi_part_minor,school block' minor parts need to be reparied,%9.0g,TRUE,
block_condi_good,school block is in a good condition,%9.0g,TRUE,
tch_house_available,school has teacher housing (based on SFO),%9.0g,TRUE,
office_yes,school has ht/dht/teacher/offices (y or n),%9.0g,TRUE,
staff_room_yes,school has staff rooms (y or n),%9.0g,TRUE,
lib_yes,school has library rooms (y or n),%9.0g,TRUE,
lab_yes,school has laboratory rooms (y or n),%9.0g,TRUE,
storage_room_yes,school has storage rooms  (y or n),%9.0g,TRUE,
wall_yes,(mean) wall_yes,%9.0g,TRUE,
wall_fine,(mean) wall_fine,%9.0g,TRUE,
wall_paint,(mean) wall_paint,%9.0g,TRUE,
display_on_wall,(mean) display_on_wall,%9.0g,TRUE,
instr_on_wall,(mean) instr_on_wall,%9.0g,TRUE,
LM_share,(mean) LM_share,%9.0g,TRUE,
chair_share,(mean) chair_share,%9.0g,TRUE,
uniform_share,(mean) uniform_share,%9.0g,TRUE,
permanent_class_share,(mean) permanent_class_share,%9.0g,TRUE,
temporary_class_share,(mean) temporary_class_share,%9.0g,TRUE,
open_air_class_share,(mean) open_air_class_share,%9.0g,TRUE,
tch_present_clas,Teacher Present in class,%9.0g,TRUE,
tch_present_tch,Teacher Present & teaching,%9.0g,TRUE,
PCR_std1,"",%9.0g,TRUE,
PCR_std2,"",%9.0g,TRUE,
PCR_std3,"",%9.0g,TRUE,
PCR_std4,"",%9.0g,TRUE,
PCR_std5,"",%9.0g,TRUE,
PCR_std6,"",%9.0g,TRUE,
PCR_std7,"",%9.0g,TRUE,
PCR_std8,"",%9.0g,TRUE,
PCR_tot,Overall Pupil-Classroom Ratio,%9.0g,TRUE,
PCR_lower,Lower Primary Pupil-Classroom Ratio,%9.0g,TRUE,
PCR_upper,"",%9.0g,TRUE,
class_size_lower,Class size lower (enrol approach),%9.0g,TRUE,
class_size_upper_57,class size upper (enrol approach),%9.0g,TRUE,
hc_class_size_std1,Class size std 1 (HC approach),%9.0g,TRUE,
hc_class_size_std2,Class size std 2 (HC approach),%9.0g,TRUE,
hc_class_size_std3,Class size std 3 (HC approach),%9.0g,TRUE,
hc_class_size_std4,Class size std 4 (HC approach),%9.0g,TRUE,
hc_class_size_std5,Class size std 5 (HC approach),%9.0g,TRUE,
hc_class_size_std6,Class size std 6 (HC approach),%9.0g,TRUE,
hc_class_size_std7,Class size std 7 (HC approach),%9.0g,TRUE,
hc_class_size_tot,Class size std total (HC approach),%9.0g,TRUE,
hc_PTR_std1,PTR std 1 (HC),%9.0g,TRUE,
hc_PTR_std2,PTR std 2 (HC),%9.0g,TRUE,
hc_PTR_std3,PTR std 3 (HC),%9.0g,TRUE,
hc_PTR_std4,PTR std 4 (HC),%9.0g,TRUE,
hc_PTR_std5,PTR std 5 (HC),%9.0g,TRUE,
hc_PTR_std6,PTR std 6 (HC),%9.0g,TRUE,
hc_PTR_std7,PTR std 7 (HC),%9.0g,TRUE,
hc_PTR_tot,PTR total (HC),%9.0g,TRUE,
rr_std1,Repetition rate std 1,%9.0g,TRUE,
rr_std1_f,Female repetition rate std 1,%9.0g,TRUE,
rr_std1_m,Male repetition rate std 1,%9.0g,TRUE,
rr_std2,Repetition rate std 2,%9.0g,TRUE,
rr_std2_f,Female repetition rate std 2,%9.0g,TRUE,
rr_std2_m,Male repetition rate std 2,%9.0g,TRUE,
rr_std3,Repetition rate std 3,%9.0g,TRUE,
rr_std3_f,Female repetition rate std 3,%9.0g,TRUE,
rr_std3_m,Male repetition rate std 3,%9.0g,TRUE,
rr_std4,Repetition rate std 4,%9.0g,TRUE,
rr_std4_f,Female repetition rate std 4,%9.0g,TRUE,
rr_std4_m,Male repetition rate std 4,%9.0g,TRUE,
rr_std5,Repetition rate std 5,%9.0g,TRUE,
rr_std5_f,Female repetition rate std 5,%9.0g,TRUE,
rr_std5_m,Male repetition rate std 5,%9.0g,TRUE,
rr_std6,Repetition rate std 6,%9.0g,TRUE,
rr_std6_f,Female repetition rate std 6,%9.0g,TRUE,
rr_std6_m,Male repetition rate std 6,%9.0g,TRUE,
rr_std7,Repetition rate std 7,%9.0g,TRUE,
rr_std7_f,Female repetition rate std 7,%9.0g,TRUE,
rr_std7_m,Male repetition rate std 7,%9.0g,TRUE,
rr_std8,Repetition rate std 8,%9.0g,TRUE,
rr_std8_f,Female repetition rate std 8,%9.0g,TRUE,
rr_std8_m,Male repetition rate std 8,%9.0g,TRUE,
rr_tot,Repetition rate total,%9.0g,TRUE,
rr_lower_pri,Lower Primary Repetition Rate,%9.0g,TRUE,
rr_upper_pri,Upper Primary Repetition Rate,%9.0g,TRUE,
rr_tot_f,Female repetition rate total,%9.0g,TRUE,
rr_lower_pri_f,Female repetition rate lower,%9.0g,TRUE,
rr_upper_pri_f,Female repetition rate upper,%9.0g,TRUE,
rr_tot_m,Male repetition rate total,%9.0g,TRUE,
rr_lower_pri_m,Male repetition rate lower,%9.0g,TRUE,
rr_upper_pri_m,Male repetition rate upper,%9.0g,TRUE,
dr_std1,Dropout rate std 1,%9.0g,TRUE,
dr_std1_f,Female dropout rate std 1,%9.0g,TRUE,
dr_std1_m,Male dropout rate std 1,%9.0g,TRUE,
dr_std2,Dropout rate std 2,%9.0g,TRUE,
dr_std2_f,Female dropout rate std 2,%9.0g,TRUE,
dr_std2_m,Male dropout rate std 2,%9.0g,TRUE,
dr_std3,Dropout rate std 3,%9.0g,TRUE,
dr_std3_f,Female dropout rate std 3,%9.0g,TRUE,
dr_std3_m,Male dropout rate std 3,%9.0g,TRUE,
dr_std4,Dropout rate std 4,%9.0g,TRUE,
dr_std4_f,Female dropout rate std 4,%9.0g,TRUE,
dr_std4_m,Male dropout rate std 4,%9.0g,TRUE,
dr_std5,Dropout rate std 5,%9.0g,TRUE,
dr_std5_f,Female dropout rate std 5,%9.0g,TRUE,
dr_std5_m,Male dropout rate std 5,%9.0g,TRUE,
dr_std6,Dropout rate std 6,%9.0g,TRUE,
dr_std6_f,Female dropout rate std 6,%9.0g,TRUE,
dr_std6_m,Male dropout rate std 6,%9.0g,TRUE,
dr_std7,Dropout rate std 7,%9.0g,TRUE,
dr_std7_f,Female dropout rate std 7,%9.0g,TRUE,
dr_std7_m,Male dropout rate std 7,%9.0g,TRUE,
dr_std8,Dropout rate std 8,%9.0g,TRUE,
dr_std8_f,Female dropout rate std 8,%9.0g,TRUE,
dr_std8_m,Male dropout rate std 8,%9.0g,TRUE,
dr_tot,Dropout rate total,%9.0g,TRUE,
dr_lower_pri,Lower Primary Dropout Rate,%9.0g,TRUE,
dr_upper_pri,Upper Primary Dropout Rate,%9.0g,TRUE,
dr_tot_f,Female dropout rate total,%9.0g,TRUE,
dr_lower_pri_f,Female dropout rate lower,%9.0g,TRUE,
dr_upper_pri_f,Female dropout rate upper,%9.0g,TRUE,
dr_tot_m,Male dropout rate total,%9.0g,TRUE,
dr_lower_pri_m,Male dropout rate lower,%9.0g,TRUE,
dr_upper_pri_m,Male dropout rate upper,%9.0g,TRUE,
abs_rate_std1_dov,Absence rate std 1 (day of visit),%9.0g,TRUE,
abs_rate_std1_f_dov,Female absence rate std 1 (day of visit),%9.0g,TRUE,
abs_rate_std1_m_dov,Male absence rate std 1 (day of visit),%9.0g,TRUE,
abs_rate_std2_dov,Absence rate std 2 (day of visit),%9.0g,TRUE,
abs_rate_std2_f_dov,Female absence rate std 2 (day of visit),%9.0g,TRUE,
abs_rate_std2_m_dov,Male absence rate std 2 (day of visit),%9.0g,TRUE,
abs_rate_std3_dov,Absence rate std 3 (day of visit),%9.0g,TRUE,
abs_rate_std3_f_dov,Female absence rate std 3 (day of visit),%9.0g,TRUE,
abs_rate_std3_m_dov,Male absence rate std 3 (day of visit),%9.0g,TRUE,
abs_rate_std4_dov,Absence rate std 4 (day of visit),%9.0g,TRUE,
abs_rate_std4_f_dov,Female absence rate std 4 (day of visit),%9.0g,TRUE,
abs_rate_std4_m_dov,Male absence rate std 4 (day of visit),%9.0g,TRUE,
abs_rate_std5_dov,Absence rate std 5 (day of visit),%9.0g,TRUE,
abs_rate_std5_f_dov,Female absence rate std 5 (day of visit),%9.0g,TRUE,
abs_rate_std5_m_dov,Male absence rate std 5 (day of visit),%9.0g,TRUE,
abs_rate_std6_dov,Absence rate std 6 (day of visit),%9.0g,TRUE,
abs_rate_std6_f_dov,Female absence rate std 6 (day of visit),%9.0g,TRUE,
abs_rate_std6_m_dov,Male absence rate std 6 (day of visit),%9.0g,TRUE,
abs_rate_std7_dov,Absence rate std 7 (day of visit),%9.0g,TRUE,
abs_rate_std7_f_dov,Female absence rate std 7 (day of visit),%9.0g,TRUE,
abs_rate_std7_m_dov,Male absence rate std 7 (day of visit),%9.0g,TRUE,
abs_rate_std8_dov,Absence rate std 8 (day of visit),%9.0g,TRUE,
abs_rate_std8_f_dov,Female absence rate std 8 (day of visit),%9.0g,TRUE,
abs_rate_std8_m_dov,Male absence rate std 8 (day of visit),%9.0g,TRUE,
abs_rate_tot_dov,Absence rate total (day of visit),%9.0g,TRUE,
abs_rate_tot_f_dov,Female absence rate total (day of visit),%9.0g,TRUE,
abs_rate_tot_m_dov,Male absence rate total (day of visit),%9.0g,TRUE,
abs_rate_upper_dov,Absence rate upper (day of visit),%9.0g,TRUE,
abs_rate_lower_dov,Absence rate upper (day of visit),%9.0g,TRUE,
abs_rate_upper_f_dov,Female absence rate upper (day of visit),%9.0g,TRUE,
abs_rate_upper_m_dov,Male absence rate upper (day of visit),%9.0g,TRUE,
abs_rate_lower_f_dov,Female absence rate lower (day of visit),%9.0g,TRUE,
abs_rate_lower_m_dov,Male absence rate lower (day of visit),%9.0g,TRUE,
English_klg_score,(mean) English_klg_score,%9.0g,TRUE,
Math_klg_score,(mean) Math_klg_score,%9.0g,TRUE,
Chi_klg_score,(mean) Chi_klg_score,%9.0g,TRUE,
total_klg_score,(mean) total_klg_score,%9.0g,TRUE,
EnglishTotal_Percent,(mean) EnglishTotal_Percent,%9.0g,TRUE,
MathsTotal_Percent,(mean) MathsTotal_Percent,%9.0g,TRUE,
ChichewaTotal_Percent,(mean) ChichewaTotal_Percent,%9.0g,TRUE,
Total_percent,Total Percent,%9.0g,TRUE,
EnglishTotal_Percent_m,EnglishTotal_Percent_m,%9.0g,TRUE,
MathsTotal_Percent_m,MathsTotal_Percent_m,%9.0g,TRUE,
ChichewaTotal_Percent_m,ChichewaTotal_Percent_m,%9.0g,TRUE,
EnglishTotal_Percent_f,EnglishTotal_Percent_f,%9.0g,TRUE,
MathsTotal_Percent_f,MathsTotal_Percent_f,%9.0g,TRUE,
ChichewaTotal_Percent_f,ChichewaTotal_Percent_f,%9.0g,TRUE,
Total_percent_m,Total_percent_m,%9.0g,TRUE,
Total_percent_f,Total_percent_f,%9.0g,TRUE,
English_klg_score_m,1 English_klg_score,%9.0g,TRUE,
Math_klg_score_m,1 Math_klg_score,%9.0g,TRUE,
Chi_klg_score_m,1 Chi_klg_score,%9.0g,TRUE,
total_klg_score_m,1 total_klg_score,%9.0g,TRUE,
English_klg_score_f,2 English_klg_score,%9.0g,TRUE,
Math_klg_score_f,2 Math_klg_score,%9.0g,TRUE,
Chi_klg_score_f,2 Chi_klg_score,%9.0g,TRUE,
total_klg_score_f,2 total_klg_score,%9.0g,TRUE,
dist_quintiles,Distance to nearest trading centre quintile,%8.0g,TRUE,TRUE
SR_grade5,SR grade 5,%9.0g,TRUE,
SR_grade5_f,SR grade 5 f,%9.0g,TRUE,
SR_grade5_m,SR grade 5 m,%9.0g,TRUE,
SR_grade7,SR grade 7,%9.0g,TRUE,
SR_grade7_f,SR grade 7 f,%9.0g,TRUE,
SR_grade7_m,SR grade 7 m,%9.0g,TRUE,
